er,name,age,elo,her,he,cer,ce,ger,ge
460,Kaichi Uchida,30.2,1282.3,447,1258.6,436,1274.6,430,1353.9
461,Yusuke Takahashi,27.2,1278.8,450,1255.0,446,1268.0,453,1339.4
462,Saba Purtseladze,23.4,1276.0,452,1248.6,473,1212.0,455,1338.0
463,Yi Zhou,19.8,1275.1,449,1256.3,466,1229.4,456,1337.5
464,Charles Broom,26.8,1271.9,477,1204.7,458,1245.9,421,1359.3
465,Juan Alejandro Hernandez Serrano,25.8,1260.4,462,1234.0,475,1207.0,460,1330.2
466,Martin Krumich,21.6,1260.2,459,1240.1,465,1230.8,461,1330.1
467,Tomas Farjat,23.7,1258.4,466,1222.6,451,1261.1,462,1329.2
468,Kasidit Samrej,24.1,1257.9,455,1244.3,376,1343.1,385,1379.0
469,Pedro Boscardin Dias,22.1,1253.9,485,1164.9,455,1253.8,463,1326.9
470,Petr Nesterov,22.0,1250.6,438,1274.2,471,1223.1,465,1325.3
471,Neil Oberleitner,25.6,1249.7,469,1215.2,460,1244.0,466,1324.8
472,Guido Ivan Justo,27.2,1247.2,474,1209.3,462,1240.4,468,1323.6
473,Justin Engel,17.5,1244.6,458,1243.0,477,1202.6,469,1322.3
474,Luciano Emanuel Ambrogi,21.3,1243.9,484,1173.1,450,1262.9,470,1321.9
475,Bruno Kuzuhara,20.5,1241.8,479,1200.6,472,1222.5,471,1320.9
476,Leonardo Aboian,26.4,1240.5,464,1230.3,467,1229.0,472,1320.3
477,Valerio Aboian,22.7,1239.6,482,1179.7,459,1244.3,473,1319.8
478,Vadym Ursu,28.2,1232.3,476,1206.5,486,1172.3,484,1295.1
479,Miguel Damas,25.2,1225.6,467,1218.9,481,1189.6,474,1312.8
480,Naoki Nakagawa,28.3,1225.6,468,1217.6,490,1117.0,475,1312.8
481,Benjamin Lock,31.7,1221.0,478,1200.7,476,1204.1,467,1324.4
482,Mariano Kestelboim,29.1,1220.4,481,1181.6,470,1223.5,476,1310.2
483,Andrea Picchione,26.8,1211.4,473,1210.0,479,1196.5,479,1305.7
484,Maxime Chazal,31.8,1202.1,487,1146.5,480,1194.6,481,1301.1
485,Nicolas Zanellato,22.5,1196.6,475,1208.3,484,1183.9,482,1298.3
486,Alexis Gautier,27.7,1191.5,489,1127.5,461,1241.3,483,1295.8
487,Ryan Nijboer,25.5,1178.7,483,1176.2,485,1180.2,485,1289.3
488,Kiranpal Pannu,28.2,1171.9,486,1157.5,488,1155.1,486,1285.9
489,Matthew Dellavedova,24.7,1154.2,488,1139.5,489,1147.1,488,1277.1
490,Ajeet Rai,26.0,1122.9,490,1096.4,487,1171.4,490,1261.4
