id,name,age,points,hand,backhand,height,weight
k09f,Pavel Kotov,26,487,R,2,191,89
b0ej,Tristan Boyer,23,485,R,2,188,84
da81,Taro Daniel,32,478,R,2,191,84
me82,Adrian Mannarino,36,476,L,2,180,79
s0ja,Eliot Spizzirri,23,476,R,2,185,79
q02l,Ethan Quinn,21,475,R,2,191,82
c0c8,Juan Manuel Cerundolo,23,469,L,2,183,75
s0gd,Dalibor Svrcina,22,466,R,2,178,68
bs86,Tomas Barrios Vera,27,463,R,2,191,88
v0am,Otto Virtanen,23,455,R,2,193,82
h997,Yannick Hanfmann,33,453,R,2,193,86
k0ep,Jerome Kym,22,449,R,2,198,87
rc04,Alexander Ritschard,31,447,R,2,193,82
t0a1,Thiago Agustin Tirante,24,441,R,2,185,81
ce77,Federico Coria,33,437,R,2,180,73
gj16,Federico Agustin Gomez,28,435,R,2,191,95
hh06,Marc-Andrea Huesler,28,432,L,2,196,86
ph71,Max Purcell,27,421,R,2,185,80
b0fv,Roman Andres Burruchaga,23,420,R,2,183,80
n0am,Emilio Nava,23,417,R,2,185,79
kc12,Mitchell Krueger,31,416,R,2,188,82
g628,Richard Gasquet,38,404,R,1,183,79
o513,Sebastian Ofner,28,403,R,2,191,81
g0fw,Vilius Gaubas,20,403,R,2,178,72
te16,Carlos Taberner,27,401,R,2,183,78
hg86,Lloyd Harris,28,400,R,2,193,80
mw18,Nicolas Moreno De Alboran,27,398,R,2,185,82
m0k4,Elmer Moller,21,398,R,2,183,73
m0g4,Harold Mayot,23,389,R,2,180,80
h996,Pierre-Hugues Herbert,34,389,R,2,188,75
l0il,Martin Landaluce,19,388,R,2,193,80
d0cg,Facundo Diaz Acosta,24,387,L,2,183,75
m0hu,Shintaro Mochizuki,21,384,R,2,175,70
b0pg,Alexander Blockx,20,384,R,2,193,83
j0az,Kyrian Jacquet,23,382,R,2,175,71
m0ht,Alejandro Moro Canas,24,382,R,2,183,78
fa43,Juan Pablo Ficovich,28,381,R,2,188,80
gd64,Cristian Garin,28,364,R,2,185,85
d0dp,Liam Draxl,23,362,R,2,185,79
bg23,Nikoloz Basilashvili,33,361,R,2,185,79
pg20,Dmitry Popko,28,361,R,2,191,87
w367,Stan Wawrinka,40,355,R,1,183,81
bk24,Gregoire Barrere,31,354,R,2,183,80
bv16,Ugo Blanchet,26,352,R,2,175,71
ta29,Marco Trungelliti,35,352,R,2,178,80
s0ze,Colton Smith,22,347,R,2,183,77
k926,Mikhail Kukushkin,37,341,R,2,183,72
b0cd,Jenson Brooksby,24,340,R,2,193,86
hb48,Calvin Hemery,30,340,R,2,191,83
