tourney_id,matchId,tourney_name,surface,winner_id,best_of,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
339,ms024,Brisbane,Hard,bm95,3,168,15,2,110,72,57,23,17,3,4,18,7,125,84,66,16,17,5,7
339,ms028,Brisbane,Hard,tc61,3,134,6,4,93,56,41,16,14,2,4,8,1,76,49,41,13,14,2,5
339,ms025,Brisbane,Hard,j551,3,108,7,1,75,47,39,17,12,3,4,10,1,77,49,37,15,12,1,3
339,ms029,Brisbane,Hard,m0qi,3,144,7,2,92,49,38,25,16,3,6,13,3,101,56,47,21,16,2,5
339,ms026,Brisbane,Hard,n732,3,74,1,0,50,31,28,13,10,0,0,6,1,51,31,23,11,9,1,3
339,ms030,Brisbane,Hard,v832,3,82,11,1,57,31,25,15,9,3,3,3,2,61,35,18,15,8,2,5
339,qs008,Brisbane,Hard,n732,3,124,6,0,88,56,35,23,14,1,4,7,4,79,42,30,20,13,2,5
339,qs009,Brisbane,Hard,bm95,3,20,1,2,11,5,5,4,2,0,0,1,0,18,7,4,5,2,1,2
339,qs010,Brisbane,Hard,gj16,3,69,9,2,60,40,34,14,10,3,3,3,1,55,45,29,6,9,1,3
339,qs012,Brisbane,Hard,h997,3,97,6,0,72,53,41,8,11,4,5,7,2,72,45,31,12,10,5,7
339,qs013,Brisbane,Hard,b0nn,3,76,7,2,50,36,28,10,10,1,2,10,6,63,37,28,9,10,4,7
339,qs011,Brisbane,Hard,k926,3,96,6,0,55,34,27,10,10,0,2,5,2,57,30,19,13,10,1,5
339,qs016,Brisbane,Hard,n732,3,99,6,0,59,36,29,16,10,2,2,9,3,89,51,33,19,10,10,12
339,qs018,Brisbane,Hard,bm95,3,70,2,1,50,28,23,14,9,0,0,2,0,48,30,20,6,8,4,7
339,qs020,Brisbane,Hard,l987,3,119,6,1,68,52,41,11,13,3,4,7,6,88,60,42,13,13,5,7
339,qs022,Brisbane,Hard,s0n0,3,81,14,1,58,42,33,9,10,0,0,5,3,56,35,25,12,10,2,4
